Date,State,Confirmed,Recovered,Deceased,,
02-04-2020,Odisha,5,1,0,,
03-04-2020,Odisha,20,2,0,,
04-04-2020,Odisha,21,2,0,,
05-04-2020,Odisha,39,2,0,,
06-04-2020,Odisha,40,2,0,,
07-04-2020,Odisha,42,2,1,,
08-04-2020,Odisha,42,2,1,,
09-04-2020,Odisha,48,2,1,,
10-04-2020,Odisha,50,12,1,,
11-04-2020,Odisha,54,12,1,,
12-04-2020,Odisha,54,12,1,,
13-04-2020,Odisha,55,18,1,,
14-04-2020,Odisha,60,18,1,,
15-04-2020,Odisha,60,19,1,,
16-04-2020,Odisha,60,19,1,,
17-04-2020,Odisha,60,21,1,,
18-04-2020,Odisha,61,24,1,,
19-04-2020,Odisha,61,24,1,,
20-04-2020,Odisha,74,24,1,,
21-04-2020,Odisha,79,30,1,,
22-04-2020,Odisha,83,32,1,,
23-04-2020,Odisha,89,33,1,,
24-04-2020,Odisha,94,33,1,,
25-04-2020,Odisha,100,34,1,,
26-04-2020,Odisha,103,35,1,,
27-04-2020,Odisha,118,37,1,,
28-04-2020,Odisha,118,38,1,,
29-04-2020,Odisha,125,39,1,,
30-04-2020,Odisha,143,41,1,,
01-05-2020,Odisha,154,55,1,,
02-05-2020,Odisha,160,56,1,,
03-05-2020,Odisha,162,60,1,,
04-05-2020,Odisha,169,60,1,,
05-05-2020,Odisha,177,60,2,,
06-05-2020,Odisha,205,61,2,,
07-05-2020,Odisha,219,62,2,,
08-05-2020,Odisha,270,63,2,,
09-05-2020,Odisha,352,68,3,,
10-05-2020,Odisha,377,68,3,,
11-05-2020,Odisha,415,85,3,,
12-05-2020,Odisha,437,116,3,,
13-05-2020,Odisha,538,143,3,,
14-05-2020,Odisha,672,158,3,,
15-05-2020,Odisha,737,166,3,,
16-05-2020,Odisha,737,196,3,,
17-05-2020,Odisha,828,220,4,,
18-05-2020,Odisha,876,277,4,,
19-05-2020,Odisha,978,307,5,,
20-05-2020,Odisha,1052,343,6,,
21-05-2020,Odisha,1103,393,7,,
22-05-2020,Odisha,1189,436,7,,
23-05-2020,Odisha,1269,497,7,,
24-05-2020,Odisha,1336,550,7,,
25-05-2020,Odisha,1438,649,7,,
26-05-2020,Odisha,1517,733,7,,
27-05-2020,Odisha,1593,812,7,,
28-05-2020,Odisha,1660,887,7,,
29-05-2020,Odisha,1723,977,9,,
30-05-2020,Odisha,1819,1050,9,,
31-05-2020,Odisha,1948,1126,9,,
01-06-2020,Odisha,2104,1245,9,,
02-06-2020,Odisha,2245,1325,9,,
03-06-2020,Odisha,2388,1416,9,,
04-06-2020,Odisha,2478,1481,9,,
05-06-2020,Odisha,2608,1604,10,,
06-06-2020,Odisha,2781,1716,10,,
07-06-2020,Odisha,2856,1894,11,,
08-06-2020,Odisha,2994,1993,11,,
09-06-2020,Odisha,3140,2133,11,,
10-06-2020,Odisha,3250,2282,11,,
11-06-2020,Odisha,3386,2354,12,,
12-06-2020,Odisha,3498,2474,13,,
13-06-2020,Odisha,3723,2594,13,,
14-06-2020,Odisha,3909,2708,14,,
15-06-2020,Odisha,4055,2854,14,,
16-06-2020,Odisha,4163,2974,14,,
17-06-2020,Odisha,4338,3047,14,,
18-06-2020,Odisha,4512,3144,14,,
19-06-2020,Odisha,4677,3297,14,,
20-06-2020,Odisha,4856,3534,15,,
21-06-2020,Odisha,5160,3720,19,,
22-06-2020,Odisha,5303,3863,21,,
23-06-2020,Odisha,5470,3988,24,,
24-06-2020,Odisha,5752,4123,24,,
25-06-2020,Odisha,5962,4291,24,,
26-06-2020,Odisha,6180,4422,24,,
27-06-2020,Odisha,6350,4606,25,,
28-06-2020,Odisha,6614,4743,28,,
29-06-2020,Odisha,6859,4946,30,,
30-06-2020,Odisha,7065,5189,32,,
01-07-2020,Odisha,7316,5353,33,,
02-07-2020,Odisha,7545,5502,35,,
03-07-2020,Odisha,8106,5705,37,,
04-07-2020,Odisha,8601,5934,43,,
05-07-2020,Odisha,9070,6224,46,,
06-07-2020,Odisha,9526,6486,48,,
07-07-2020,Odisha,10097,6703,54,,
08-07-2020,Odisha,10624,7006,61,,
09-07-2020,Odisha,11201,7407,67,,
10-07-2020,Odisha,11956,7972,73,,
11-07-2020,Odisha,12526,8360,79,,
12-07-2020,Odisha,13121,8750,84,,
13-07-2020,Odisha,13737,9255,91,,
14-07-2020,Odisha,14280,9864,96,,
15-07-2020,Odisha,14898,10476,101,,
16-07-2020,Odisha,15392,10877,103,,
17-07-2020,Odisha,16110,11330,109,,
18-07-2020,Odisha,16701,11937,112,,
19-07-2020,Odisha,17437,12453,119,,
20-07-2020,Odisha,18110,12910,125,,
21-07-2020,Odisha,18757,13310,133,,
22-07-2020,Odisha,19835,13750,139,,
23-07-2020,Odisha,21099,14393,145,,
24-07-2020,Odisha,22693,15201,153,,
25-07-2020,Odisha,24013,15929,163,,
26-07-2020,Odisha,25389,16793,174,,
27-07-2020,Odisha,26892,17374,181,,
28-07-2020,Odisha,28107,18061,189,,
29-07-2020,Odisha,29175,18939,195,,
30-07-2020,Odisha,30378,19746,205,,
31-07-2020,Odisha,31877,20518,214,,
01-08-2020,Odisha,33479,21274,225,,
02-08-2020,Odisha,34913,21955,236,,
03-08-2020,Odisha,36297,23074,248,,
04-08-2020,Odisha,37681,24483,258,,
05-08-2020,Odisha,39018,25738,269,,
06-08-2020,Odisha,40717,26888,280,,
07-08-2020,Odisha,42550,28698,292,,
08-08-2020,Odisha,44193,30242,307,,
09-08-2020,Odisha,45927,31785,321,,
10-08-2020,Odisha,47455,33021,337,,
11-08-2020,Odisha,48796,34806,349,,
12-08-2020,Odisha,50672,36479,358,,
13-08-2020,Odisha,52653,37901,367,,
14-08-2020,Odisha,54630,39206,377,,
15-08-2020,Odisha,57126,40727,386,,
16-08-2020,Odisha,60050,42277,396,,
17-08-2020,Odisha,62294,43780,406,,
18-08-2020,Odisha,64533,45315,415,,
19-08-2020,Odisha,67122,46936,425,,
20-08-2020,Odisha,70020,48577,433,,
21-08-2020,Odisha,72718,50504,443,,
22-08-2020,Odisha,75537,52277,452,,
23-08-2020,Odisha,78530,54406,462,,
24-08-2020,Odisha,81479,56925,472,,
25-08-2020,Odisha,84231,59470,481,,
26-08-2020,Odisha,87602,62813,494,,
27-08-2020,Odisha,90986,65323,501,,
28-08-2020,Odisha,94668,67826,509,,
29-08-2020,Odisha,97920,70714,523,,
30-08-2020,Odisha,100934,73233,535,,
31-08-2020,Odisha,103536,77286,545,,
01-09-2020,Odisha,106561,80770,556,,
02-09-2020,Odisha,109780,84073,567,,
03-09-2020,Odisha,113411,87351,575,,
04-09-2020,Odisha,116678,90331,584,,
05-09-2020,Odisha,120221,93774,591,,
06-09-2020,Odisha,124031,96364,599,,
07-09-2020,Odisha,127892,99398,609,,
08-09-2020,Odisha,131382,102185,622,,
09-09-2020,Odisha,135130,105295,633,,
10-09-2020,Odisha,139121,108001,644,,
11-09-2020,Odisha,143117,112062,658,,
12-09-2020,Odisha,146894,115279,669,,
13-09-2020,Odisha,150807,118642,679,,
14-09-2020,Odisha,155005,122024,690,,
15-09-2020,Odisha,158650,125738,698,,
16-09-2020,Odisha,162920,129859,709,,
17-09-2020,Odisha,167161,133466,722,,
18-09-2020,Odisha,171341,137567,735,,
19-09-2020,Odisha,175550,141657,744,,
20-09-2020,Odisha,179880,145675,754,,
21-09-2020,Odisha,184122,149379,763,,
22-09-2020,Odisha,188311,153213,774,,
23-09-2020,Odisha,192548,157265,789,,
24-09-2020,Odisha,196888,161044,805,,
25-09-2020,Odisha,201096,165432,820,,
26-09-2020,Odisha,205452,170193,836,,
27-09-2020,Odisha,209374,173571,850,,
28-09-2020,Odisha,212609,177585,866,,
29-09-2020,Odisha,215676,181481,881,,
30-09-2020,Odisha,219119,185700,895,,
01-10-2020,Odisha,222734,190080,912,,
02-10-2020,Odisha,226334,194128,928,,
03-10-2020,Odisha,229387,198194,945,,
04-10-2020,Odisha,232713,202302,960,,
05-10-2020,Odisha,235330,206400,977,,
06-10-2020,Odisha,238003,210217,993,,
07-10-2020,Odisha,240998,213672,1011,,
08-10-2020,Odisha,244142,216984,1027,,
09-10-2020,Odisha,246839,220388,1044,,
10-10-2020,Odisha,249693,224273,1059,,
11-10-2020,Odisha,252239,227615,1075,,
12-10-2020,Odisha,254662,230192,1093,,
13-10-2020,Odisha,256937,232988,1110,,
14-10-2020,Odisha,259541,235763,1125,,
15-10-2020,Odisha,262011,238535,1142,,
16-10-2020,Odisha,264149,241385,1157,,
17-10-2020,Odisha,266345,244227,1174,,
18-10-2020,Odisha,268364,246837,1188,,
19-10-2020,Odisha,270346,249575,1205,,
20-10-2020,Odisha,272250,252197,1221,,
21-10-2020,Odisha,274181,254913,1234,,
22-10-2020,Odisha,276094,257041,1249,,
23-10-2020,Odisha,277887,259418,1267,,
24-10-2020,Odisha,279582,262031,1282,,
25-10-2020,Odisha,281215,264102,1298,,
26-10-2020,Odisha,282695,266105,1312,,
27-10-2020,Odisha,283942,268115,1325,,
28-10-2020,Odisha,285482,270130,1337,,
29-10-2020,Odisha,287099,272038,1350,,
30-10-2020,Odisha,288646,273838,1361,,
31-10-2020,Odisha,290116,275749,1373,,
01-11-2020,Odisha,291825,277564,1384,,
02-11-2020,Odisha,293214,279091,1393,,
03-11-2020,Odisha,294415,280553,1405,,
04-11-2020,Odisha,295889,282073,1417,,
05-11-2020,Odisha,297274,283533,1431,,
06-11-2020,Odisha,298768,285174,1446,,
07-11-2020,Odisha,300140,286857,1463,,
08-11-2020,Odisha,301574,288168,1478,,
09-11-2020,Odisha,302793,289689,1494,,
10-11-2020,Odisha,303780,291137,1507,,
11-11-2020,Odisha,305000,292477,1522,,
12-11-2020,Odisha,305986,293741,1536,,
13-11-2020,Odisha,307004,295245,1548,,
14-11-2020,Odisha,307906,296516,1563,,
15-11-2020,Odisha,308659,297862,1580,,
16-11-2020,Odisha,309408,299159,1596,,
17-11-2020,Odisha,310052,300474,1613,,
18-11-2020,Odisha,310920,301777,1628,,
19-11-2020,Odisha,311788,302796,1645,,
20-11-2020,Odisha,312545,303897,1661,,
21-11-2020,Odisha,313323,304908,1678,,
22-11-2020,Odisha,313961,305813,1693,,
23-11-2020,Odisha,314629,306726,1710,,
24-11-2020,Odisha,315271,307374,1724,,
